season,episode,count
08,05,0
07,02,2
06,05,4
06,1
08,09,7
07,01,4
06,09,2
08,06,4
08,02,1
07,05,4
06,02,1
07,11,10
06,10,2
07,09,3
06,01,1
07,06,0
08,01,1
07,03,2
08,04,2
06,04,4
07,10,0
08,8
06,07,2
06,12,4
08,10,8
08,07,0
06,08,5
07,04,3
08,03,5
06,03,1
06,11,11
07,08,3
07,12,1
07,2
