season,episode,count
08,05,1
07,02,2
06,05,1
08,09,1
07,01,1
06,09,1
08,06,1
08,02,0
07,05,1
06,02,0
07,11,2
06,10,7
07,09,1
06,01,0
07,06,2
08,01,2
07,03,2
08,04,3
06,04,0
07,10,13
06,07,0
06,12,3
08,10,20
08,07,1
06,08,0
07,04,1
08,03,1
06,03,0
06,11,2
07,08,0
07,12,5
